date,total_cost,total_worth
2026-05-16,517.6972259855271,526.1678386636744
2026-05-19,544.0256114280223,537.587983002433
2026-05-20,558.0087119323015,545.797006813694
2026-05-21,658.4663609921931,658.450097830024
2026-05-22,739.9558390003442,742.5161324409238
2026-05-23,757.4305388337372,763.1242393197768
2026-05-24,757.4305388337372,763.1242393197768
2026-05-25,758.6292828780412,765.4331496643752
2026-05-26,758.6657844561337,764.971415236136
2026-05-27,766.3558390003442,781.4674797179534
2026-05-28,898.0999174940584,914.8478216384368
2026-05-29,942.8972185611724,961.601147189677
2026-05-30,944.0114005470274,958.7599172313024
2026-06-02,943.8609414196012,955.4725460997035
2026-06-03,972.8104328823088,1002.248428098124
2026-06-04,971.4246003055572,994.2413891241532
2026-06-05,1024.408696746826,1051.3409529973055
2026-06-06,1142.222224882841,1123.761008152201
2026-06-09,1141.9787887990474,1139.2511406496428
2026-06-10,1140.308364984989,1136.8207037656168
2026-06-11,1140.2601861441135,1124.002808277212
2026-06-12,1208.6704277312754,1212.808369064803
2026-06-13,1316.6817893499135,1317.5633676591465
2026-06-14,1316.6817893499135,1317.5638566944544
2026-06-15,1318.1984676504137,1323.5291785111322
2026-06-16,1316.8111165714265,1356.783087483729
2026-06-17,1317.3944425320626,1334.6416859700155
2026-06-18,1315.3310996747018,1335.5539187569732
2026-06-19,1314.436671175957,1349.3563156244977
2026-06-20,1314.0914928507807,1349.0072223838654
2026-06-23,1286.569008448124,1350.740334036475
2026-06-24,1283.280259912014,1313.1638560776858
2026-06-25,1282.3621976447105,1307.460441526821
2026-06-30,1282.1957518696786,1326.569765090009
2026-07-01,1282.3621976447105,1346.2814791140738
2026-07-02,1278.434456682205,1319.0250491917318
2026-07-03,1276.5504982733728,1306.7438071653592
2026-07-07,1278.5182618546487,1315.8231897037251
2026-08-18,2017.6950004887583,2058.703582249331
